id,aliases,severity,cvss,summary,published
GHSA-cm5g-3pgc-8rg4,CVE-2024-10491,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:N/A:N,Express ressource injection,2024-10-29
GHSA-gpvr-g6gh-9mc2,CVE-2014-6393,MODERATE,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,No Charset in Content-Type Header in express,2018-10-23
GHSA-jj78-5fmv-mv28,CVE-2024-9266,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:N/A:N,Express Open Redirect vulnerability,2024-10-03
GHSA-qw6h-vgh9-j6wx,CVE-2024-43796,LOW,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:L,express vulnerable to XSS via response.redirect(),2024-09-10
GHSA-9qj9-36jm-prpv,CVE-2017-16119,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Regular Expression Denial of Service in fresh,2018-07-24
GHSA-jgqf-hwc5-hh37,CVE-2015-8859,MODERATE,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Root Path Disclosure in send,2017-10-24
GHSA-m6fv-jmcg-4jfg,CVE-2024-43799,LOW,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:L,send vulnerable to template injection that can lead to XSS,2024-09-10
GHSA-xwg4-93c6-3h42,CVE-2014-6394,LOW,,Directory Traversal in send,2017-10-24
GHSA-9vvw-cc9w-f27h,CVE-2017-20165,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,debug Inefficient Regular Expression Complexity vulnerability,2023-01-09
GHSA-gxpj-cx7g-858c,CVE-2017-16137,LOW,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,Regular Expression Denial of Service in debug,2018-08-09
GHSA-pxg6-pf52-xh8x,CVE-2024-47764,LOW,,"cookie accepts cookie name, path, and domain with out of bounds characters",2024-10-04
GHSA-3fw8-66wf-pr7m,CVE-2013-7370,LOW,,methodOverride Middleware Reflected Cross-Site Scripting in connect,2020-08-31
